ID;Nome;Data de Nascimento
1;Antoine de Saint-Exupéry;29/06/1900
2;George Orwell;25/06/1903
3;Machado de Assis;21/06/1839
4;João Guimarães Rosa;27/06/1908
5;Fiódor Dostoiévski;11/11/1821
6;Jane Austen;16/12/1775
7;Emily Brontë;30/07/1818 
8;J.R.R. Tolkien;03/01/1892
9;J.K. Rowling;31/07/1965
10;Arthur Conan Doyle;22/05/1859
11;Harper Lee;28/04/1926
12;Mary Shelley;30/08/1797
13;Herman Melville;01/08/1819
14;Douglas Adams;11/03/1952
